web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,title,title2,title3,title4,image,image2
"1779297167-24","https://www.bdhousing.com/features","Saltanat Tea Resort  Sale","The Saltanat","Sreemangal, Moulvibazar","Call For Price","Hotel and Resort","","","","Sale","Real Estate Company","","","","","","https://www.bdhousing.com/api/list/listings/564X394/250086/73d7b5c32761adb5f33f9f3781856208.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/12080/20fc250e95495d9919dfffc067950414.jpg"
"1779297167-25","https://www.bdhousing.com/features","SSG SIDDIQUIS LEGACY Sale","SSG Holdings Limited","Mohakhali DOHS, Dhaka","Call For Price","Apartment/Flats","3705","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250762/f3f492bd1f9180b7ec7b03e3568e95a4.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/6255/5aa1dfdc8439d09d4d2e5272240e6e4b.jpg"
"1779297167-26","https://www.bdhousing.com/features","SSG SIDDIQUIS LEGACY Sale","SSG Holdings Limited","Mohakhali DOHS, Dhaka","Call For Price","Apartment/Flats","2600","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250757/c914da68461cd13c3091a0e23bff6954.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/6255/5aa1dfdc8439d09d4d2e5272240e6e4b.jpg"
"1779297167-27","https://www.bdhousing.com/features","SSG SIDDIQUIS LEGACY Sale","SSG Holdings Limited","Mohakhali DOHS, Dhaka","Call For Price","Apartment/Flats","2394","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250755/f3f492bd1f9180b7ec7b03e3568e95a4.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/6255/5aa1dfdc8439d09d4d2e5272240e6e4b.jpg"
"1779297167-28","https://www.bdhousing.com/features","SSG Hasnat & Popy's Legacy Sale","SSG Holdings Limited","Jolshiri Abason, Dhaka","Call For Price","Apartment/Flats","2850","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250761/96c5840e0a43825b5a1135a667104dc4.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/6255/5aa1dfdc8439d09d4d2e5272240e6e4b.jpg"
"1779297167-29","https://www.bdhousing.com/features","Enclave Purbachal Sale","Adisiya Properties Ltd.","Purbachal, Dhaka","Call For Price","Land Sharing Flat","1700","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250838/3b2876281c1b902ec333d9e4e76b9adc.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/12885/19d385affae0137bf05f9d9dd6ffeee7.jpg"
"1779297167-30","https://www.bdhousing.com/features","Enclave Purbachal Sale","Adisiya Properties Ltd.","Jolshiri Abason, Dhaka","TK. 1.04 Cr.","Apartment/Flats","2000","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/251001/82d7dace48a1cafcefbfa421e1cb4e32.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/12885/19d385affae0137bf05f9d9dd6ffeee7.jpg"
"1779297167-31","https://www.bdhousing.com/features","Enclave Purbachal  Sale","Adisiya Properties Ltd.","Jolshiri Abason, Dhaka","TK. 88.40 Lac","Apartment/Flats","1700","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/251002/c869a8228b0304136be84eb49cfb7994.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/12885/19d385affae0137bf05f9d9dd6ffeee7.jpg"
"1779297167-32","https://www.bdhousing.com/features","Unique Wahed Plaza Sale","ACME Development Ltd.","Malibag, Dhaka","Call For Price","Office Space","","","","Sale","Real Estate Company","","","","","","https://www.bdhousing.com/api/list/listings/564X394/245986/9b5fa67f8f791479844632753844eb2a.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/7322/6f3feb1108738a56d7e3c4ae32409cd5.jpg"
"1779297167-33","https://www.bdhousing.com/features","Unique Heritage Sale","ACME Development Ltd.","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","2562","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/245987/1046d6a6bd6982de8a34eb3ec5a1e8fc.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/7322/6f3feb1108738a56d7e3c4ae32409cd5.jpg"
"1779297167-34","https://www.bdhousing.com/features","Acme Bluebell Sale","ACME Development Ltd.","Basabo, Dhaka","Call For Price","Apartment/Flats","1456","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/246931/bba2c5eae8808c2b0fb5976ebfca3421.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/7322/6f3feb1108738a56d7e3c4ae32409cd5.jpg"
"1779297167-35","https://www.bdhousing.com/features","Lumina Sale","Imparo Ventures Limited","Bashundhara R/A, Dhaka","TK. 2.64 Cr.","Apartment/Flats","2400","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250337/eb57ed59b08d5c7f3cecfe17daee6031.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/12668/066581a16ab45eae5bb2b25b327bfc8b.jpg"
"1779297167-36","https://www.bdhousing.com/features","Modhu City -1  Sale","Modhu City Ready Plot","Mohammadpur, Dhaka","Call For Price","Commercial Plot","129","","","Sale","Real Estate Company","January, 2026","Handover Date","","Size (Katha)","","https://www.bdhousing.com/api/list/listings/564X394/250734/f6391c1651859bb6c69864a625164229.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/13282/9789e4b6fa5818f839eae924c311fd2c.jpg"
"1779297167-37","https://www.bdhousing.com/features","IDL AZALEA Sale","Inheritance Development Ltd. (IDL)","Uttara, Dhaka","TK. 1.64 Cr.","Apartment/Flats","1770","04","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250010/e706b26a0784a80c50d2e5c8454f2212.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/12057/6b7fdd2d5ecc8d85d7126037a8a3b918.jpg"
"1779297167-38","https://www.bdhousing.com/features","Dhrubotara Sale","Acme Technologies Ltd","Jolshiri Abason, Dhaka","Call For Price","Apartment/Flats","2850","04","06","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/248989/4efdd2f969559e8b1c92e99f32ded48e.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/6354/c172dbc47558405b2f7e252b998c5f03.jpg"
